,time,education,difficulty
246,119.024,,
247,134.572,,
248,87.652,,
249,336.31300000000005,,
250,683.674,,
251,537.066,,
252,387.269,,
253,414.167,,
254,427.106,,
255,1803.6170000000002,,
256,73.36,2.0,1.0
257,578.001,2.0,2.0
258,928.7260000000001,3.0,3.0
259,1265.886,3.0,4.0
260,1276.43,3.0,2.0
261,5305.8,,
262,81.032,,
263,267.056,,
264,206.96200000000002,,
265,267.94,,
266,442.24699999999996,,
267,330.55800000000005,,
268,269.485,,
269,459.389,,
270,288.988,,
271,299.78700000000003,,
272,274.22700000000003,,
273,154.821,,
274,529.596,,
275,686.6519999999999,,
276,738.395,,
277,264.524,,
278,679.461,,
279,583.756,3.0,3.0
280,295.51,4.0,3.0
281,215.076,3.0,2.0
282,225.33,3.0,3.0
283,528.535,3.0,3.0
284,525.467,3.0,4.0
285,2014.7520000000002,4.0,4.0
286,2368.092,4.0,4.0
287,390.805,3.0,4.0
288,2506.69,4.0,4.0
289,963.485,3.0,3.0
290,8897.13,,
291,751.768,,
292,302.75,,
293,462.351,,
294,827.345,,
295,617.698,,
296,2271.0370000000003,,
297,946.0239999999999,,
298,4046.0009999999997,4.0,4.0
299,5310.69,4.0,4.0
300,8834.818000000001,4.0,4.0
301,2867.53,4.0,4.0
302,2275.683,4.0,4.0
303,3962.6290000000004,4.0,4.0
304,2847.797,4.0,4.0
305,6175.460999999999,,
306,2737.768,,
307,4624.483,,
308,1143.258,4.0,4.0
309,4146.795,4.0,3.0
310,3829.494,4.0,4.0
311,7331.932,4.0,4.0
312,2175.333,4.0,3.0
313,3398.9559999999997,4.0,4.0
314,4610.414000000001,4.0,4.0
315,5930.685,4.0,3.0
316,2773.5229999999997,,
317,213.574,,
318,294.156,,
319,2023.64,,
320,223.90599999999998,,
321,5995.655,,
322,14718.033000000001,4.0,5.0
323,2021.93,4.0,4.0
324,5880.081999999999,4.0,4.0
325,3294.304,4.0,4.0
326,5160.346,4.0,4.0
327,16345.178,,
328,,4.0,3.0
329,6546.929,4.0,5.0
330,412.574,,
331,444.67800000000005,,
332,506.54,,
333,92.52799999999999,,
334,1025.8010000000002,,
335,472.23199999999997,,
336,788.528,,
337,4603.527,,
338,2937.775,,
339,1890.476,,
340,1750.9620000000002,,
341,2273.176,,
342,1391.5420000000001,,
343,834.789,,
344,973.81,,
345,1533.85,,
346,1705.76,,
347,796.5310000000001,,
348,369.709,,
349,747.069,,
350,2713.844,,
351,2851.7209999999995,,
352,1317.1329999999998,,
353,15369.848,,
354,1633.445,2.0,2.0
355,1907.37,2.0,2.0
356,263.709,1.0,1.0
357,111.64299999999999,1.0,1.0
358,87.351,1.0,1.0
359,583.271,1.0,1.0
360,4319.4929999999995,2.0,2.0
361,1955.5729999999999,2.0,3.0
362,5030.8009999999995,,
363,2541.4770000000003,,
364,6353.93,1.0,3.0
365,4695.026,,
366,109.53200000000001,,
367,2086.373,,
368,9342.716999999999,,
369,9769.843,,
370,5832.635,,
371,,,
372,,,
373,,,
374,,,
375,,,
376,,,
377,,,
378,,,
379,,,
380,,,
381,,,
382,,,
383,,,
384,,,
385,,,
386,,,
387,,,
388,,,
389,,,
390,,,
391,,,
392,,,
393,,,
394,,,
395,,,
396,,,
397,,,
398,,,
399,,,
400,,,
401,,,
402,,,
403,,,
404,,,
405,,,
406,,,
407,,,
408,,,
409,,,
410,,,
411,,,
412,,,
413,,,
414,,,
415,,,
416,,,
417,,,
418,,,
419,,,
420,,,
421,,,
422,,,
423,,,
424,,,
425,,,
426,,,
427,,,
428,,,
429,,,
430,,,
431,,,
432,,,
433,,,
434,,,
435,,,
436,,,
437,,,
438,,,
439,,,
440,449.376,,
441,80.183,,
442,162.524,,
443,57.048,,
444,104.62100000000001,,
445,213.11900000000003,,
446,170.305,,
447,754.1289999999999,,
448,3628.985,,
449,282.098,,
450,286.948,,
451,629.422,,
452,630.636,,
453,379.09,,
454,576.535,,
455,399.24,,
456,358.731,,
457,729.2339999999999,,
458,307.619,,
459,540.465,,
460,728.1439999999999,,
461,524.706,4.0,4.0
462,363.751,4.0,3.0
463,1534.14,,
464,1662.636,3.0,3.0
465,325.60900000000004,3.0,2.0
466,189.395,3.0,2.0
467,45.952,3.0,2.0
468,37.173,1.0,1.0
469,514.415,3.0,2.0
470,450.033,4.0,4.0
471,380.973,3.0,3.0
472,533.0319999999999,3.0,3.0
473,524.894,3.0,2.0
474,272.616,3.0,3.0
475,1732.239,4.0,4.0
476,66.643,2.0,1.0
477,284.469,2.0,1.0
478,1146.268,3.0,2.0
479,2177.82,4.0,3.0
480,910.325,4.0,4.0
481,5111.838,5.0,4.0
482,204.592,2.0,1.0
483,555.717,1.0,1.0
484,404.30800000000005,2.0,2.0
485,322.881,2.0,2.0
486,411.71,3.0,2.0
487,929.6339999999999,2.0,2.0
488,503.795,2.0,2.0
489,271.72700000000003,2.0,2.0
490,457.85900000000004,,
491,173.43,2.0,2.0
492,181.047,,
493,244.528,2.0,2.0
494,1424.445,,
495,473.66900000000004,,
496,733.395,,
497,305.66700000000003,,
498,114.28200000000001,,
499,28.744,,
500,772.48,,
501,101.932,,
502,832.439,,
503,651.328,,
504,2293.058,,
505,1208.0910000000001,,
506,2310.645,,
507,105.015,,
508,3592.947,,
509,926.68,,
510,,,
511,630.813,,
512,181.43200000000002,,
513,720.887,,
514,2438.744,,
515,929.45,,
516,365.36300000000006,,
517,1133.453,,
518,1692.4720000000002,,
519,5196.415,,
520,2603.888,,
521,1023.6560000000001,,
522,2299.07,,
523,,,
524,,,
525,1290.742,,
526,2139.337,,
527,2179.556,,
528,974.225,,
529,,,
530,,,
531,,,
532,,,
533,,,
534,,,
535,6599.4619999999995,,
536,,,
537,,,
538,,,
539,,,
540,,,
541,,,
542,,,
543,,,
544,,,
545,,,
546,,,
547,,,
548,,,
549,,,
550,256.272,,
551,241.893,,
552,133.225,,
553,36.763000000000005,,
554,43.809,,
555,44.997,,
556,29.826,,
557,581.65,4.0,2.0
558,1013.556,4.0,2.0
559,101.596,3.0,1.0
560,482.586,4.0,2.0
561,526.966,4.0,1.0
562,377.461,4.0,1.0
563,557.759,3.0,1.0
564,189.683,3.0,1.0
565,88.48299999999999,3.0,1.0
566,408.032,4.0,2.0
567,294.344,3.0,1.0
568,239.428,3.0,1.0
569,241.22400000000002,3.0,1.0
570,768.5310000000001,3.0,2.0
571,500.042,3.0,2.0
572,405.954,4.0,2.0
573,,,
574,567.493,4.0,2.0
575,90.277,4.0,2.0
576,189.77,4.0,2.0
577,117.01,3.0,2.0
578,24.124000000000002,4.0,2.0
579,588.0269999999999,3.0,2.0
580,734.807,4.0,2.0
581,622.7769999999999,4.0,2.0
582,502.741,3.0,2.0
583,,4.0,2.0
584,152.925,4.0,2.0
585,1040.1989999999998,4.0,3.0
586,27.078000000000003,3.0,1.0
587,273.022,3.0,2.0
588,,4.0,3.0
589,,5.0,3.0
590,,,
591,,,
592,,,
593,,,
594,,,
595,,,
596,,,
597,,,
598,,,
599,,,
600,,,
601,,,
602,,,
603,,,
604,,,
605,,4.0,2.0
606,,4.0,3.0
607,,,
608,,,
609,,3.0,2.0
610,,,
611,,,
612,,,
613,,,
614,,,
615,,,
616,,,
617,,,
618,,,
619,,,
620,,,
621,,,
622,,,
623,,,
624,,,
625,,,
626,,,
627,,,
628,,,
629,,,
630,,,
631,,,
632,,,
633,,,
634,,,
635,,,
636,,,
637,,,
638,,,
639,,,
640,,,
641,,,
642,,,
643,,,
644,,,
645,,,
646,,,
647,,,
648,,,
649,,,
650,,,
651,,,
652,,,
653,,,
654,,,
655,,,
656,,,
657,,,
658,,,
659,,,
660,479.283,3.0,1.0
661,232.582,1.0,1.0
662,128.043,2.0,1.0
663,55.495,2.0,1.0
664,43.953,3.0,1.0
665,9.47,3.0,1.0
666,69.294,3.0,2.0
667,638.599,4.0,4.0
668,330.778,2.0,3.0
669,159.459,3.0,2.0
670,194.445,4.0,2.0
671,699.505,3.0,3.0
672,440.38,3.0,2.0
673,777.04,3.0,3.0
674,99.235,2.0,2.0
675,,,
676,,,
677,,,
678,,,
679,,,
680,,,
681,,,
682,,,
683,,,
684,,,
685,,,
686,,,
687,,,
688,,,
689,,,
690,,,
691,,,
692,,,
693,,,
694,,,
695,,,
696,,,
697,,,
698,,,
699,,,
700,,,
701,,,
702,,,
703,,,
704,,,
705,,,
706,,,
707,,,
708,,,
709,,,
710,,,
711,,,
712,,,
713,,,
714,,,
715,,,
716,,,
717,,,
718,,,
719,,,
720,,,
721,,,
722,,,
723,,,
724,,,
725,,,
726,,,
727,,,
728,,,
729,,,
730,,,
731,,,
732,,,
733,,,
734,,,
735,,,
736,,,
737,,,
738,,,
739,,,
740,,,
741,,,
742,,,
743,,,
744,,,
745,,,
746,,,
747,,,
748,,,
749,,,
750,,,
751,,,
752,,,
753,,,
754,,,
755,,,
756,,,
757,,,
758,,,
759,,,
760,,,
761,,,
762,,,
763,,,
764,,,
765,,,
766,,,
767,,,
768,,,
769,,,
770,374.264,,
771,86.98899999999999,,
772,553.119,,
773,319.486,,
774,139.119,,
775,705.304,,
776,1135.768,,
777,1306.3,,
778,654.053,,
779,1128.0819999999999,,
780,972.648,,
781,983.163,,
782,812.815,,
783,1616.9270000000001,,
784,199.658,,
785,616.326,,
786,2183.926,,
787,1815.8010000000002,,
788,405.44599999999997,,
789,1244.0539999999999,,
790,3941.405,5.0,5.0
791,1214.346,,
792,1147.4180000000001,,
793,5264.995,,
794,996.331,,
795,1350.003,,
796,752.008,,
797,428.80300000000005,,
798,405.49800000000005,,
799,920.789,,
800,1497.604,,
801,2150.814,,
802,1285.307,,
803,665.487,,
804,1758.578,,
805,2394.156,,
806,774.335,,
807,548.19,,
808,4455.064,,
809,4361.497,,
810,1736.734,,
811,8217.701,,
812,701.195,,
813,626.178,,
814,489.60900000000004,,
815,684.8589999999999,,
816,2031.5539999999999,,
817,817.0369999999999,,
818,286.736,,
819,338.76,,
820,441.345,,
821,795.885,,
822,452.52099999999996,,
823,435.408,,
824,818.9119999999999,,
825,1688.01,,
826,2586.38,,
827,2276.225,,
828,187.767,,
829,543.81,,
830,978.935,,
831,141.921,,
832,545.15,,
833,1033.657,,
834,2100.5879999999997,,
835,1860.241,,
836,8120.469,,
837,1865.3329999999999,,
838,2111.3070000000002,,
839,3405.995,,
840,6677.156,,
841,970.882,,
842,467.781,,
843,785.425,,
844,2757.0440000000003,,
845,1136.31,,
846,1434.386,,
847,1842.0220000000002,,
848,3044.04,,
849,4754.552,,
850,4065.2340000000004,,
851,799.0880000000001,,
852,2505.342,,
853,3190.433,,
854,6218.491999999999,,
855,6096.33,,
856,4499.585999999999,,
857,4541.354,,
858,964.217,,
859,4102.032,,
860,1405.681,,
861,2501.6839999999997,,
862,3730.042,,
863,6077.4580000000005,,
864,5602.453,,
865,3578.538,,
866,5083.522,,
867,357.325,,
868,650.177,,
869,1302.223,,
870,887.8839999999999,,
871,3213.4320000000002,,
872,5761.548000000001,,
873,7464.294,,
874,6594.008000000001,,
875,6756.96,,
876,3399.39,,
877,1970.474,,
878,,,
879,,,
880,105.54899999999999,2.0,1.0
881,42.567,1.0,1.0
882,81.766,2.0,1.0
883,20.522,2.0,1.0
884,72.43,2.0,1.0
885,29.688000000000002,2.0,1.0
886,60.446000000000005,2.0,1.0
887,175.535,2.0,1.0
888,259.615,2.0,1.0
889,99.103,2.0,1.0
890,316.082,2.0,1.0
891,224.225,2.0,1.0
892,146.562,,
893,262.38599999999997,,
894,40.759,,
895,249.041,,
896,132.69899999999998,,
897,304.724,,
898,187.423,,
899,376.379,,
900,327.895,,
901,242.68,,
902,489.352,,
903,1782.967,,
904,195.33900000000003,1.0,1.0
905,15.856,2.0,1.0
906,76.032,1.0,1.0
907,77.596,1.0,1.0
908,39.343,1.0,1.0
909,302.676,1.0,1.0
910,495.39099999999996,2.0,1.0
911,500.975,1.0,1.0
912,122.052,1.0,1.0
913,286.908,1.0,1.0
914,366.327,1.0,1.0
915,827.307,1.0,1.0
916,27.673000000000002,1.0,1.0
917,192.483,1.0,1.0
918,334.41,1.0,1.0
919,1241.357,1.0,1.0
920,427.755,1.0,1.0
921,2259.448,2.0,1.0
922,31.025,2.0,1.0
923,14.876,2.0,1.0
924,48.835,2.0,1.0
925,56.905,2.0,1.0
926,146.68200000000002,2.0,1.0
927,499.509,2.0,1.0
928,127.905,2.0,1.0
929,236.014,2.0,1.0
930,146.20600000000002,2.0,1.0
931,550.02,2.0,1.0
932,166.127,2.0,1.0
933,40.852,2.0,1.0
934,221.287,2.0,1.0
935,442.587,2.0,1.0
936,224.18400000000003,2.0,1.0
937,76.361,2.0,1.0
938,107.31700000000001,2.0,1.0
939,18.278,2.0,1.0
940,188.665,,
941,358.035,,
942,48.99,,
943,615.128,,
944,299.459,,
945,521.534,,
946,681.332,,
947,974.0189999999999,,
948,1021.061,,
949,466.68699999999995,,
950,2631.449,,
951,144.19799999999998,2.0,1.0
952,106.947,,
953,200.892,,
954,294.301,,
955,346.417,,
956,471.371,,
957,168.562,,
958,1061.323,,
959,2291.384,,
960,1991.088,,
961,385.855,,
962,1290.761,,
963,874.4730000000001,,
964,1409.264,,
965,1220.758,,
966,472.724,,
